<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20190506,103100,380.3100000,380.4600000,380.3100000,380.4600000,2
20190506,103500,380.3100000,380.3100000,380.3100000,380.3100000,1
20190506,103900,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,104400,380.0600000,380.0600000,380.0600000,380.0600000,1
20190506,104500,380.1100000,380.1600000,380.1100000,380.1600000,2
20190506,104600,380.1800000,380.1800000,380.1800000,380.1800000,1
20190506,104700,380.2100000,380.2100000,380.2100000,380.2100000,1
20190506,105300,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,105600,380.0600000,380.0600000,379.9600000,379.9600000,2
20190506,105900,380.3100000,380.3100000,380.3100000,380.3100000,1
20190506,110100,379.9100000,379.9600000,379.9100000,379.9600000,2
20190506,110600,380.3600000,380.3600000,380.3600000,380.3600000,1
20190506,111500,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,111800,380.3100000,380.3100000,380.3100000,380.3100000,1
20190506,112600,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,113600,380.3100000,380.3100000,379.9600000,380.3100000,3
20190506,114200,379.7600000,379.7600000,379.6600000,379.6600000,2
20190506,114900,379.4600000,379.4600000,379.4600000,379.4600000,1
20190506,115000,379.3600000,379.3600000,379.3600000,379.3600000,1
20190506,115100,379.4100000,379.4100000,379.4100000,379.4100000,1
20190506,115500,379.5600000,379.5600000,379.5100000,379.5100000,2
20190506,115700,380.4100000,380.4100000,380.4100000,380.4100000,1
20190506,115800,379.5600000,379.5600000,379.5600000,379.5600000,1
20190506,120100,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,120300,379.6100000,379.6100000,379.6100000,379.6100000,1
20190506,120500,380.5100000,380.5100000,380.5100000,380.5100000,1
20190506,120900,380.6100000,380.6100000,380.6100000,380.6100000,1
20190506,121000,379.6600000,379.6600000,379.6600000,379.6600000,1
20190506,121300,380.6600000,380.6600000,380.6600000,380.6600000,1
20190506,121600,380.7100000,380.7100000,380.7100000,380.7100000,1
20190506,121800,379.7100000,379.8100000,379.7100000,379.7600000,3
20190506,122200,380.7600000,380.7600000,380.7600000,380.7600000,1
20190506,122500,379.8600000,379.8600000,379.7600000,379.7600000,2
20190506,122900,379.8600000,379.8600000,379.8600000,379.8600000,1
20190506,123500,379.9600000,379.9600000,379.9600000,379.9600000,1
20190506,123600,380.0100000,380.0100000,380.0100000,380.0100000,1
20190506,123900,380.0600000,380.0600000,380.0600000,380.0600000,1
20190506,124100,380.7600000,380.7600000,380.7600000,380.7600000,1
20190506,125600,380.1600000,380.1600000,380.1600000,380.1600000,1
20190506,130400,380.2100000,380.2100000,380.2100000,380.2100000,1
20190506,131600,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,132200,380.1600000,380.1600000,380.1600000,380.1600000,1
20190506,132500,380.1000000,380.1000000,380.1000000,380.1000000,1
20190506,132600,380.7600000,380.7600000,380.7600000,380.7600000,1
20190506,135900,380.3100000,380.3100000,380.3100000,380.3100000,1
20190506,140600,380.3600000,380.3600000,380.3600000,380.3600000,1
20190506,141500,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,141800,380.3100000,380.3100000,380.3100000,380.3100000,1
20190506,142600,380.2600000,380.2600000,380.2600000,380.2600000,1
20190506,143600,380.3100000,380.3100000,379.9600000,380.3100000,3
20190506,145700,380.4100000,380.4100000,380.4100000,380.4100000,1
20190506,150100,380.4600000,380.4600000,380.4600000,380.4600000,1
20190506,150500,380.5100000,380.5100000,380.5100000,380.5100000,1
